Clusters,mean_BScore,mean_TScore,mean_MScore,mean_FScore,n_cells,normal_composite
C2,0.427971182820731,0.342068886649133,0.237433934409726,0.666468206735659,1321,1.67394221061525
C5,0.4308684785765,0.339309673633659,0.241259943862672,0.657783917964233,627,1.66922201403706
C1,0.428295894988975,0.338688090592551,0.23562920209591,0.665162199605679,772,1.66777538728312
C3,0.41539657729689,0.339783681240188,0.235737135225217,0.674715416620331,700,1.66563281038263
C4,0.411762389316396,0.339976862150506,0.247076054496889,0.662429091539129,717,1.66124439750292
